headline,date,time,view,like,share,comment,category,tag
พลังประชารัฐ ถกกรรมการยุทธศาสตร์ หลัง กกต. ประกาศผล เตรียมเดินหน้าขับเคลื่อนนโยบายหลังเป็นแกนนำจัดตั้งรัฐบาล,29.03.2019,,470K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,กกต.,อุตตม สาวนายน,สนธิรัตน์ สนธิจิรวงศ์,กอบศักดิ์ ภูตระกูล,สุวิทย์ เมษินทรีย์,พรรคพลังประชารัฐ"
จับตาประชุมพรรคประชาธิปัตย์ หลังเสียงแตกร่วมพลังประชารัฐ หรือเป็นฝ่ายค้าน,29.03.2019,,"1,348K",,Loading...,,"Thailand,Politics","กรณ์ จาติกวณิช,พรรคประชาธิปัตย์,ชวน หลีกภัย,จุรินทร์ ลักษณวิศิษฏ์,อลงกรณ์ พลบุตร,สาธิต ปิตุเตชะ,นิพิฏฐ์ อินทรสมบัติ,นิพนธ์ บุญญามณี"
ยกธนาคารมาไว้ข้างบ้าน ไทยพาณิชย์เปิดตัว SCB Service รับฝาก-ถอนเงินที่เซเว่น อีเลฟเว่น ค่าธรรมเนียม 15 บาท,29.03.2019,,209K,,Loading...,,Business,"SCB,ธนาคารไทยพาณิชย์,SCB EASY,อาทิตย์ นันทวิทยา,บริษัท เคาน์เตอร์เซอร์วิส จำกัด,SCB Service"
ผู้สมัคร ส.ส. กรุงเทพฯ อนาคตใหม่-เพื่อไทย ร้อง กกต. จัดเลือกตั้งใหม่ พบแจกเงินและทุจริตหลายรายการ,29.03.2019,,552K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,กกต.,พรรคเพื่อไทย,เลือกตั้ง ส.ส.,พรรคอนาคตใหม่,ตรีรัตน์ ศิริจันทโรภาส,ณิชชา บุญลือ"
รัฐบาลเวเนซุเอลาตัดสิทธิการเมือง ฮวน กุยโด ห้ามรับตำแหน่ง 15 ปี,29.03.2019,,799K,,Loading...,,World,"Venezuela,Nicolas Maduro,Juan Guaido,วิกฤตเวเนซุเอลา"
ผู้สมัคร ส.ส. ‘เพื่อไทย’ วิ่งร้อง กกต. ให้เลือกตั้งใหม่ยกสมุทรปราการ งัดหลักฐานฟัน ‘พลังประชารัฐ’ โกงตั้งแต่ซื้อเสียงยันเลือกตั้ง,29.03.2019,,"1,572K",,Loading...,,"Thailand,Politics","การเลือกตั้ง,กกต.,พรรคเพื่อไทย,เลือกตั้ง ส.ส.,ประเสริฐ ชัยกิจเด่นนภาลัย"
กรมการกงสุลประกาศเตือนคนไทย หลังบรูไนเริ่มใช้กฎหมายชารีอะห์ 3 เมษายนนี้ โทษสูงสุดอาจถูกแขวนคอ-ปาหินจนเสียชีวิต,29.03.2019,,"1,570K",,Loading...,,"World,LGBTQ","LGBT,Brunei,Criminal Code Order"
WMO ชี้ปัญหาโลกร้อนส่งผลกระทบต่อประชากรโลก 62 ล้านคนในปี 2018 เตือนภัยธรรมชาติมีแนวโน้มเลวร้ายยิ่งขึ้น,29.03.2019,,166K,,Loading...,,"World,Environment","ภาวะโลกร้อน,UN,WMO,State of the Climate,IEA"
พลังประชารัฐ แถลงเรียกร้องทุกพรรคหยุดนำเสียงประชาชนไปอ้างความชอบธรรม ชี้ตัวเลขยังไม่นิ่ง รวบรวมเสียงยังไม่มีผล,29.03.2019,,423K,,Loading...,,"Thailand,Politics","อุตตม สาวนายน,สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ"
"โลมาเกยตื้นตายเกลื่อนกว่า 1,110 ตัว คาดสาเหตุจากอุตสาหกรรมประมงฝรั่งเศสทำพิษ",29.03.2019,,237K,,Loading...,,World,"France,Emmanuel Macron,Willy Daubin,Sea Shepherd,โลมาเกยตื้น"
