headline,date,time,view,like,share,comment,category,tag
เผยคนไทยคิดสั้น พยายามฆ่าตัวตายชั่วโมงละ 6 คน เหตุชีวิตที่เร่งรีบทำให้ขาดการยั้งคิด,10.09.2018,,896K,,Loading...,,Thailand,"ฆ่าตัวตาย,วันป้องกันการฆ่าตัวตายโลก,กรมสุขภาพจิต,บุญเรือง ไตรเรืองวรวัฒน์,ปัญหาฆ่าตัวตาย"
กรมอุตุฯ เผย ไทยจะสิ้นสุดฤดูฝน เข้าสู่ฤดูหนาวกลางเดือนตุลาคมนี้,10.09.2018,,"1,877K",,Loading...,,Thailand,"ฝนตก,กรมอุตุนิยมวิทยา,วันชัย ศักดิ์อุดมไชย"
แจ็ค หม่า ประกาศลงจากเก้าอี้ประธานอาลีบาบา มีผลปีหน้า ส่งไม้ต่อให้ แดเนียล จาง บริหาร,10.09.2018,,681K,,Loading...,,"World,Business","Alibaba,Jack Ma,Daniel Zhang"
มือมีดไล่แทงคนบาดเจ็บ 7 คนในกรุงปารีส ตำรวจฝรั่งเศสยันไม่ใช่การก่อการร้าย,10.09.2018,,219K,,Loading...,,World,"อาชญากรรม,Paris,มือมีดไล่แทง"
9 สัญญาณเตือน คนใกล้ตัวอาจคิดสั้น หวังฆ่าตัวตาย,10.09.2018,,957K,,Loading...,,Thailand,"ฆ่าตัวตาย,วันป้องกันการฆ่าตัวตายโลก"
กรณ์ หนุน อภิสิทธิ์ นั่งหัวหน้าพรรคประชาธิปัตย์อีกสมัย มั่นใจจะเป็นนายกฯ ที่ดีได้อีกครั้ง,10.09.2018,,"1,371K",,Loading...,,"Thailand,Politics","อภิสิทธิ์ เวชชาชีวะ,กรณ์ จาติกวณิช,พรรคประชาธิปัตย์,วัชระ เพชรทอง"
กรมสรรพากรประกาศยกเลิกใช้สำเนาบัตรประชาชน-ทะเบียนบ้าน ขานรับ Thailand 4.0,10.09.2018,,394K,,Loading...,,Thailand,"Thailand 4.0,กรมสรรพากร,ยกเลิกสำเนาบัตรประชาชน,ยกเลิกสำเนาทะเบียนบ้าน"
สนช. เตรียมเสนอรัฐคุมหาเสียงผ่านโซเชียลมีเดียก่อนเลือกตั้งปีหน้า,10.09.2018,,514K,,Loading...,,"Thailand,Politics","Social Media,สนช.,การเลือกตั้ง,กกต.,พรเพชร วิชิตชลชัย,สิทธิเสรีภาพ,การหาเสียง"
อนาคตไทยจะตายหรือตัน ฟัง 5 มุมมองนักการเมืองก่อนวันเลือกตั้งที่ยังไม่ชัดว่าเมื่อไร,10.09.2018,,"3,266K",,Loading...,,"Thailand,Politics","จตุพร พรหมพันธุ์,ประชาธิปไตย,นปช.,คสช.,การเลือกตั้ง,พรรคเพื่อไทย,พรรคการเมือง,นักการเมือง,พรรคประชาธิปัตย์,ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่,พรรคภูมิใจไทย,พรรคชาติไทยพัฒนา,จาตุรนต์ ฉายแสง,จุรินทร์ ลักษณวิศิษฏ์,สรอรรถ กลิ่นประทุม,คณะกรรมการญาติวีรชนพฤษภา 35,เครือข่ายตรวจสอบภาคประชาชน,อดุลย์ เขียวบริบูรณ์,ระวี มาศฉมาดล,พรรคพลังธรรมใหม่,สิริพงศ์ อังคสกุลเกียรติ"
เตือนทาสแมว ระวังติด ‘กลากแมว’ แพร่เชื้อจากแมวติดเชื้อรา เครื่องนอนของแมว,10.09.2018,,"1,128K",,Loading...,,Thailand,"กระทรวงสาธารณสุข,กรมควบคุมโรค,ทาสแมว,โรคติดต่อ,โรคระบาด,กลากแมว,แมว,พาหะนำโรค"
ประวิตรเผยที่มาเสื้อดำต้องห้าม หลังทหารบุกจับตัวคนขายเข้า มทบ.11,10.09.2018,,772K,,Loading...,,"Thailand,Politics","สิทธิมนุษยชน,กระทรวงกลาโหม,ประวิตร วงษ์สุวรรณ,ศูนย์ทนายเพื่อสิทธิมนุษยชน,เสื้อดำต้องห้าม,มณฑลทหารบกที่ 11"
เราเกิดมาเพื่อมีความสุข สิ่งที่คุณครูแจ็ค หม่า อยากสอนคุณมากที่สุด,10.09.2018,,"13,106K",,Loading...,,"Business,Editor’s Desk","EDITOR’S DESK,Alibaba,Jack Ma"
เปิดไอจีลับ นาโอมิ โอซากะ แชมป์แกรนด์สแลมคนแรกของญี่ปุ่น กับตัวตนที่ใครๆ ก็หลงรัก,10.09.2018,,"4,092K",,Loading...,,Sport,"US Open,tennis,Naomi Osaka"
การเมืองสวีเดนส่อเค้าวุ่น หลังสองขั้วการเมืองกวาดที่นั่งในสภาได้เกือบเท่ากัน,11.09.2018,,"1,677K",,Loading...,,World,"Sweden,Sweden Democrats,สภานิติบัญญัติ (Riksdag),การเมืองสวีเดน"
สหรัฐฯ ขู่คว่ำบาตรศาลอาญาระหว่างประเทศ หากดำเนินคดีกับทหารอเมริกันกรณีทรมานนักโทษในอัฟกานิสถาน,11.09.2018,,207K,,Loading...,,World,"Donald Trump,CIA,ICC"
อาจารย์ยักษ์ไม่หวั่นข่าวปรับพ้น ครม. หลังเสนอเลิกใช้ 3 สารเคมี ตั้งใจมาช่วยงานนายกฯ แค่ 1 ปี,11.09.2018,,170K,,Loading...,,Politics,"กระทรวงเกษตรและสหกรณ์,วิวัฒน์ ศัลยกำธร,กฤษฎา บุญราช"
สนธิรัตน์ปัดข่าวลาออกจาก ครม. นั่งเลขาฯ พลังประชารัฐ ระบุเป็นเรื่องอนาคตยังไม่ตัดสินใจ,28.08.2018,,180K,,Loading...,,"Thailand,Politics","คสช.,การเลือกตั้ง,อุตตม สาวนายน,กระทรวงอุตสาหกรรม,วิษณุ เครืองาม,กระทรวงพาณิชย์,สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ"
คสช. ไฟเขียว เตรียมคลายล็อกให้พรรคการเมืองทำกิจกรรม เตรียมพร้อมสู่การเลือกตั้ง,28.08.2018,,117K,,Loading...,,"Thailand,Politics","คสช.,การเลือกตั้ง,ธนะศักดิ์ ปฏิมาประกร,การเคลื่อนไหวทางการเมือง,พรรคการเมืองทำกิจกรรม"
ครบ 4 ปี พลเอก ประยุทธ์ หัวหน้าคณะรัฐประหารที่เป็นนายกฯ นานเท่าจอมพล สฤษดิ์,23.08.2018,,"3,690K",,Loading...,,"Thailand,Politics","ประชาธิปไตย,คสช.,ประยุทธ์ จันทร์โอชา,การเลือกตั้ง,พระยาพหลพลพยุหเสนา,ถนอม กิตติขจร,จอมพล ป. พิบูลสงคราม,สฤษดิ์ ธนะรัชต์,การรัฐประหาร,เผด็จการทหาร,นายกรัฐมนตรีคนที่ 29"
ประยุทธ์ไม่เห็นด้วยกฎหมายเพิ่มโทษใบขับขี่ ชี้อย่าเอาเรื่องขับรถชนกันไปโทษเรื่องใบขับขี่,28.08.2018,,281K,,Loading...,,Thailand,"ประยุทธ์ จันทร์โอชา,ใบอนุญาตขับขี่"
หม่อง ทองดี เข้าสู่กระบวนการให้สัญชาติไทยอีกครั้ง ส่งให้อำเภอตรวจสอบ คาด 3 เดือนรู้ผล,28.08.2018,,102K,,Loading...,,Thailand,"การขอสัญชาติไทย,หม่อง ทองดี"
"รัฐทุ่มงบ 4,000 ล้านให้การยาสูบฯ ขยายฐานผลิตบุหรี่ที่มีคุณภาพ นำรายได้มาพัฒนาประเทศ",28.08.2018,,"2,611K",,Loading...,,"Thailand,Business,Politics","กระทรวงการคลัง,วิสุทธิ์ ศรีสุพรรณ,การยาสูบแห่งประเทศไทย,โรงงานผลิตยาสูบ 6,โรงงานผลิตยาสูบ,นิคมอุตสาหกรรมโรจนะ,ดาวน้อย สุทธินิภาพันธ์"
อีสปอร์ตในเอเชียนเกมส์ จุดเปลี่ยนวงการอีสปอร์ตไทย?,24.08.2018,,"3,495K",,Loading...,,Sport,"E-Sports,AsianGames2018,League of Legends,Hearthstone,StarCraft II,PES 2018,Arena of Valor,IT City Bacon,TESA,นักกีฬาอีสปอร์ต,นักกีฬาอีสปอร์ตทีมชาติไทย,เฮียโก้ (heaGow)-ประสิทธิ์ เกียรติวัชรวิทย์,Clash Royale,สหพันธ์กีฬาอิเล็กทรอนิกส์แห่งเอเชีย"
ฮาวายเฝ้าระวังเฮอร์ริเคน ‘เลน’ พายุหมุนลูกใหญ่ลูกที่ 3 ในรอบเกือบ 60 ปี,23.08.2018,,177K,,Loading...,,World,"hawaii,เฮอร์ริเคนเลน"
เปิดศึกวิวาทะ ลุงตู่-แม่ปู ประชาชนได้อะไร,22.08.2018,,"2,069K",,Loading...,,Politics,"ยิ่งลักษณ์ ชินวัตร,ประยุทธ์ จันทร์โอชา,วิวาทะ ลุงตู่-แม่ปู"
ไอคอนแห่งวงการฟุตบอล เบ็คแฮม เตรียมรับรางวัลเกียรติยศ ‘ยูฟ่า เพรสซิเดนต์ส อวอร์ด 2018’,22.08.2018,,501K,,Loading...,,Sport,"David Beckham,UEFA President's Award"
10 เดือน คดีน้องเมย ยังไม่ทราบสาเหตุการตาย อวัยวะตรวจไม่ได้ แพทยสภาเผยยังต้องรออีก 6-7 เดือน,22.08.2018,,813K,,Loading...,,Thailand,"แพทยสภา,นักเรียนเตรียมทหาร,ภคพงศ์ ตัญกาญจน์,น้องเมย,สุพิชา ตัญกาญจน์"
ทีมร่มร่อนสาวไทยคว้าทองที่ 2 ของทัพนักกีฬาไทยในเอเชียนเกมส์ 2018,22.08.2018,,226K,,Loading...,,Sport,"Asian Games,AsianGames2018,กีฬาร่มร่อน,นันท์ณภัส ภุชฌงค์,จันทิกา ใจสนุก,นฤภร วาทะยา"
ทรูโดร่วมงาน Montreal Pride 2018 พร้อมส่งกำลังใจให้ LGBTQ ผู้ตกเป็นเหยื่อของการเลือกปฏิบัติทั่วโลก,20.08.2018,,266K,,Loading...,,"World,LGBTQ","Pride Parade,Justin Trudeau,Canada,LGBTQ,Queer Eye,Antoni Porowski,Montreal Pride 2018"
เหยื่อกระสุนสลายชุมนุม 52 แขนพิการ แพ้คดีกองทัพ  ถูกสั่งยึดทรัพย์ชดใช้ค่าคดี ร้อง กสม. ช่วยประสานยุติการบังคับคดี,20.08.2018,,"1,088K",,Loading...,,"Thailand,Politics","นปช.,อภิสิทธิ์ เวชชาชีวะ,คณะกรรมการสิทธิมนุษยชนแห่งชาติ,อังคณา นีละไพจิตร,การชุมนุมทางการเมือง,สมยศ พฤกษาเกษมสุข,การสลายการชุมนุมปี 52,การชุมนุมทางการเมือง 2552,ไสว ทองอ้ม,เหยื่อการเมือง"
เจาะตัวตน โต้ง สิริพงศ์ ว่าที่เลขาฯ ชาติไทยพัฒนา กับทางเลือกที่สาม ตัวแปร การเมืองไทย,22.08.2018,,"3,520K",,Loading...,,"Thailand,Politics","การเลือกตั้ง,พรรคชาติไทยพัฒนา,สิริพงศ์ อังคสกุลเกียรติ"
ขอ-ต่อใบขับขี่ ต้องมีใบรับรองแพทย์ตรวจสภาพจิต ขับบิ๊กไบค์ต้องผ่านอบรม ทดสอบขับรถ,21.08.2018,,476K,,Loading...,,Thailand,"สรรเสริญ แก้วกำเนิด,ใบรับรองแพทย์,ใบอนุญาตขับขี่"
แผนครองโลกฟุตบอลของแมนเชสเตอร์ ซิตี้,22.08.2018,,437K,,Loading...,,Sport,
วงการแพทย์อาจใช้ ‘เอ็นไซม์ของแบคทีเรียในทางเดินอาหาร’ เปลี่ยนแปลงกรุ๊ปเลือดได้ในอนาคต,22.08.2018,,833K,,Loading...,,Science,"วงการแพทย์,แบคทีเรีย,ระบบทางเดินอาหาร,Stephen Withers,การขาดแคลนเลือด,กรุ๊ปเลือด,การบริจาคเลือด,ระบบหมุนเวียนโลหิต"
เวเนซุเอลาเริ่มใช้เงินสกุลใหม่ ทำธุรกิจหยุดชะงัก,22.08.2018,,"1,711K",,Loading...,,World,"Venezuela,วิกฤตเศรษฐกิจในเวเนซุเอลา,สกุลเงินใหม่ของเวเนซุเอลา"
Facebook เริ่มให้คะแนนความน่าเชื่อถือผู้ใช้งาน หวังกวาดล้างข่าวปลอม,22.08.2018,,182K,,Loading...,,Tech,"Facebook,Facebook Algorithm,Fake News"
สถานการณ์น้ำเพชรบุรีน่าห่วง เร่งลดผลกระทบพื้นที่ลุ่มต่ำ ระดมเครื่องจักรระบายน้ำเต็มที่,22.08.2018,,"2,356K",,Loading...,,Thailand,"เพชรบุรี,น้ำท่วม,สถานการณ์น้ำ,สำนักงานทรัพยากรน้ำแห่งชาติ,สำเริง แสงภู่วงค์"
บริษัทเทคฯ ยักษ์ใหญ่เดินหน้าล้างบางผู้ใช้งานที่มีพฤติกรรมไม่เหมาะสม Facebook ลบไปแล้ว 652 บัญชี,22.08.2018,,294K,,Loading...,,Tech,"Instagram,Facebook,Social Media,Microsoft,นโยบายความเป็นส่วนตัว,พฤติกรรมการใช้โซเชียลมีเดีย,นโยบายความมั่นคงของเฟซบุ๊ก,พฤติกรรมไม่เหมาะสมในเฟซบุ๊ก,Microsoft Digital Crimes Unit,สตรอนเทียม (Strontium),หมีแฟนซี (Fancy Bear),APT28,พฤติกรรมไม่เหมาะสมในโซเชียลมีเดีย"
เมื่อ Facebook ไม่แคร์วงการสื่อ เปรียบเป็นผู้ป่วยใกล้ตาย แบรนด์และเพจควรปรับตัวอย่างไร,22.08.2018,,"7,538K",,Loading...,,"Business,Tech","Facebook,Social Media,Social Market,สื่อมวลชน,Facebook Algorithm,Campbell Brown,Facebook Journalism Project,สื่อออนไลน์,อุตสาหกรรมสื่อ,การปรับตัวของสื่อ,สื่อใหม่,Buffer: Social Media Management Platform"
บาดแผลหลังถูกยกเลิกสัญญากับคาร์ดิฟฟ์ ซิตี้ ที่สอนให้ มิก้า ชูนวลศรี ไม่กลัวความพ่ายแพ้ [Advertorial],22.08.2018,,"2,887K",,Loading...,,Sport,"Advertorial,HALLofFAIL,AJFC2018,อลิอันซ์อยุธยา,ถ้าคุณสู้เราก็สู้ไปกับคุณ"
ทำไมโลกจึงยกย่อง โคฟี อันนัน กับวาทะเด็ดจากบุคคลต้นแบบแห่งสันติภาพ,18.08.2018,,"1,126K",,Loading...,,World,"องค์การสหประชาชาติ (UN),รางวัลโนเบลสาขาสันติภาพ,Kofi Annan,เลขาธิการสหประชาชาติ,สันติภาพ"
ปลื้มจิตร์ ถินขาว เชิญธงชาติไทยเข้าร่วมพิธีเปิดการแข่งขันเอเชียนเกมส์ครั้งที่ 18 อย่างเป็นทางการ,19.08.2018,,208K,,Loading...,,Sport,"AsianGames2018,ปลื้มจิตร์ ถินขาว,วอลเลย์บอลหญิงทีมชาติไทย,ธนา ไชยประสิทธิ์,พิธีเปิดการแข่งขันเอเชียนเกมส์ครั้งที่ 18"
ยูเวนตุสประกาศแยกทางกับมาร์คิซิโอ หลังร่วมงานกันมา 25 ปี,17.08.2018,,249K,,Loading...,,Sport,"Juventus,Claudio Marchisio"
ทัพนักกีฬาไทย Asian Games 2018,17.08.2018,,422K,,Loading...,,Sport,AsianGames2018
เริ่มแล้วงาน PlayStation Experience 2018 ครั้งแรกในไทย ผู้บริหารเผย ตลาดเกมคอนโซลไทยโตเร็ว มีศักยภาพสูง,18.08.2018,,322K,,Loading...,,"Business,Tech","Sony,Playstation,PlayStation Experience 2018,PlayStation Experience,FIFA 19,Marvel's Spider-Man,Resident Evil 2,Kingdom Hearts II,Dragon Quest XI: Echoes of an Elusive Age,Marvel vs Capcom: Infinite,GT Sport,Cat Quest,Aeterno Blade II,Cat Quest 2,Tetris Effect,Sekiro: Shadow Die Twice"
จี้ รมว.คลัง แจงขาดทุนโครงการจำนำข้าวไม่มีจริงใช่หรือไม่ เหตุไม่ปรากฏในรายงานการเงินแผ่นดิน,18.08.2018,,"1,488K",,Loading...,,"Thailand,Politics","ยิ่งลักษณ์ ชินวัตร,กระทรวงการคลัง,สนช.,พรรคเพื่อไทย,โครงการรับจำนำข้าว,เรืองไกร ลีกิจวัฒนะ,ธ.ก.ส.,รายงานการเงินแผ่นดิน"
ผู้ว่าฯ น่าน ประกาศเตือนภัยน้ำท่วม 7 หมู่บ้าน เดือดร้อนนับพัน สั่งนายอำเภอห้ามออกนอกพื้นที่,18.08.2018,,370K,,Loading...,,Thailand,"น้ำท่วม,สถานการณ์น้ำ,น่าน"
10 ประเทศที่มีอัตราส่วนของผู้ชายและผู้หญิงสูบบุหรี่มากที่สุดในโลก,17.08.2018,,785K,,Loading...,,World,"บุหรี่,องค์การอนามัยโลก"
IMF ยก ‘มาเก๊า’ รวยที่สุดในโลกภายในปี 2020 แซงหน้าแชมป์เก่าอย่างกาตาร์,17.08.2018,,"1,077K",,Loading...,,"World,Business","Qatar,IMF,Macau"
รัฐเกรละ อินเดีย เกิดน้ำท่วมรุนแรงสุดในรอบ 100 ปี ยอดเสียชีวิต 106 คน ไร้ที่อยู่นับแสน,17.08.2018,,345K,,Loading...,,World,"India,น้ำท่วม,น้ำท่วมในรัฐเกรละ อินเดีย"
เพนตากอนชี้ กองทัพจีนซุ่มพัฒนาฝูงบินทิ้งระเบิด และอาจฝึกนักบินโจมตีสหรัฐฯ,17.08.2018,,158K,,Loading...,,"World,China","USA,China,Pentagon"
Samsung เปิดตัว Note 9 ปรับกลยุทธ์เจาะผู้ใช้คนรุ่นใหม่มากขึ้น เชื่อฐานคนใช้ Note ยังเหนียวแน่น,17.08.2018,,399K,,Loading...,,"Business,Tech","Samsung,Samsung Galaxy Note 9"
โฆเซ มูฆิกา อดีตประธานาธิบดีที่จนที่สุดในโลก กับ 7 เรื่องที่คุณอาจจะยังไม่เคยรู้,17.08.2018,,"5,155K",,Loading...,,World,"Uruguay,กัญชาถูกกฎหมาย,ชีวิตสมถะ,ชีวิตเรียบง่าย,José Mujica,Lucía Topolansky,ประธานาธิบดีที่จนที่สุดในโลก"
10 อันดับพื้นที่ที่ร่ำรวยที่สุดในโลกภายในปี 2020 ตามการคาดการณ์ของ IMF,17.08.2018,,658K,,Loading...,,World,"Qatar,Hong Kong,Singapore,Kuwait,United Arab Emirates,Norway,Luxembourg,Brunei,IMF,Ireland,Macau,การเติบโตทางเศรษฐกิจ,คุณภาพชีวิต,IMF’s Global Economic Outlook Database,ความร่ำรวย"
เสก โลโซ เฟซบุ๊กไลฟ์ ทำไมคนต้องเข้าไปดู,17.08.2018,,"3,582K",,Loading...,,Thailand,"เสกสรรค์ ศุขพิมาย,เสก โลโซ,Facebook Live,Cyberbullying"
จับตา เซ็นทรัล ภูเก็ต ลงทุน 2 หมื่นล้าน ระเบิดศึกค้าปลีกเมืองท่องเที่ยว เปิดตัว 10 ก.ย. นี้,17.08.2018,,"2,410K",,Loading...,,Business,"บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),วัลยา จิราธิวัฒน์,เซ็นทรัล ภูเก็ต"
นาฬิกาประวิตร การเสียชีวิตของน้องเมย-ชัยภูมิ รวม 3 คดีปริศนาคืบหน้าล่าช้าในรอบสัปดาห์,17.08.2018,,"2,215K",,Loading...,,Thailand,"คสช.,กระทรวงกลาโหม,ประยุทธ์ จันทร์โอชา,ชัยภูมิ ป่าแส,ประวิตร วงษ์สุวรรณ,ป.ป.ช.,ความยุติธรรม,กองทัพบก,ภคพงศ์ ตัญกาญจน์,น้องเมย,การยื่นบัญชีแสดงรายการทรัพย์สินและหนี้สิน,วัชรพล ประสารราชกิจ,คตช.,กระบวนการยุติธรรมไทย,นาฬิกาหรู,ปัณณทัต กาญจนะวสิต"
คุยกับ อุกฤษ อุณหเลขกะ แห่ง Ricult สตาร์ทอัพเพื่อเกษตรกรที่มูลนิธิบิล เกตส์ ให้ทุน 83 ล้านบาท,17.08.2018,,"19,548K",,Loading...,,Business,"Startup,องค์การสหประชาชาติ (UN),เกษตรกร,MIT,Chivas Venture,Ricult,อุกฤษ อุณหเลขกะ,Social Enterprise - SE,มูลนิธิบิล เกตส์,สตาร์ทอัพเพื่อเกษตรกร,AgriTech,Global Social Venture,Fintech Disrupt Challenge,Dtac Accelerate Batch"
น้ำท่วมรัฐเกรละ อินเดีย ยอดผู้เสียชีวิตพุ่ง 324 ราย รุนแรงสุดในรอบ 100 ปี นายกฯ บินลงพื้นที่ด่วน,18.08.2018,,402K,,Loading...,,World,"India,น้ำท่วม,น้ำท่วมในรัฐเกรละ อินเดีย"
นายโคฟี อันนัน อดีตเลขาธิการสหประชาชาติ เสียชีวิตแล้วในวัย 80 ปี,18.08.2018,,"1,101K",,Loading...,,World,"องค์การสหประชาชาติ (UN),Nobel Prize,รางวัลโนเบลสาขาสันติภาพ,Kofi Annan,เลขาธิการสหประชาชาติ"
นักเรียนนักศึกษาแจกความสดใสให้กระทรวงศึกษาธิการ ค้านกฎกระทรวงฉบับใหม่,18.08.2018,,353K,,Loading...,,Thailand,"กระทรวงศึกษาธิการ,เสรีภาพ,สิทธิมนุษยนชน,แจกความสดใสให้กระทรวงศึกษา"
วงการสื่อกีฬาสุดเศร้า ‘เฮียนอส’ ผู้ดำเนินรายการ FM 99 เสียชีวิตแล้วเช้าวันนี้,18.08.2018,,152K,,Loading...,,Sport,"Football,นอส-อภิสิทธิ์ อภิสุขสิริ,Sports Guide,FM99 Active Radio"
โพลเผย คนไทยร้อยละ 72.4 หนุนให้กัญชาถูกกฎหมาย,19.08.2018,,344K,,Loading...,,Thailand,"กัญชา,กัญชาถูกกฎหมาย"
ภาพข่าวยอดเยี่ยมประจำวันที่ 12-18 สิงหาคม 2561,19.08.2018,,259K,,Loading...,,"World,Thailand",ภาพข่าวยอดเยี่ยม
ทีมเทควันโดพุมเซ่สาวไทยคว้าเหรียญทองแรกเอเชียนเกมส์ หลังเอาชนะเกาหลีใต้,19.08.2018,,257K,,Loading...,,Sport,"AsianGames2018,เทควันโดพุมเซ่"
ฟุตบอลทีมชาติไทยพ่ายอุซเบกิสถาน 0-1 ความหวังเข้ารอบริบหรี่,19.08.2018,,180K,,Loading...,,Sport,"ทีมชาติไทย,AsianGames2018,Uzbekistan"
แถลงการณ์สำนักพระราชวัง สมเด็จพระราชินีใน ร.9 เสด็จฯ ประทับ รพ.จุฬาฯ,20.08.2018,,229K,,Loading...,,Thailand,"สมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ,สำนักพระราชวัง"
บราซิลส่งทหารคุมเข้มชายแดน หลังค่ายผู้อพยพชาวเวเนซุเอลาถูกผู้ประท้วงโจมตี,20.08.2018,,173K,,Loading...,,World,"ผู้ลี้ภัย,Brazil,ผู้อพยพ,Venezuelan,ปัญหาเศรษฐกิจ"
ชาวเกาหลีใต้หลายร้อยคนเดินทางขึ้นเหนือเพื่อเจอครอบครัวที่พลัดพรากครั้งแรกในรอบเกือบ 70 ปี,20.08.2018,,546K,,Loading...,,World,"North Korea,Korea,พรมแดนเกาหลีเหนือ-เกาหลีใต้,สงครามเกาหลี"
โนวัค ยอโควิช ชนะเฟเดอเรอร์ 2 เซตรวด คว้าโกลเดน มาสเตอร์ คนแรกในประวัติศาสตร์,20.08.2018,,735K,,Loading...,,Sport,"Roger Federer,novak djokovic,tennis,Cincinnati Masters,Golden Master,ATP World Tour Masters 1000,Indian Wells Masters,Miami Open,Monte-Carlo Masters,Madrid Open,Italian Open,Canadian Open,Shanghai Masters,Paris Masters"
สภาพัฒน์แถลงเศรษฐกิจไทยโตแรงกว่าตลาดโลก ครึ่งปีแรกขยาย 4.8% แนะรัฐเร่งเครื่องเมกะโปรเจกต์,20.08.2018,,206K,,Loading...,,Business,"GDP,สภาพัฒน์,การเติบโตทางเศรษฐกิจ,ทศพร ศิริสัมพันธ์"
นายกฯ โชว์ลีลาลองเล่นโยคะ ระหว่าง ครม. สัญจร ระนอง,20.08.2018,,247K,,Loading...,,Thailand,"ประยุทธ์ จันทร์โอชา,ครม.สัญจร"
12 ข้อต้องรู้ของเกมปัญญา,20.08.2018,,"1,196K",,Loading...,,"Business,Tech","Panya-Live Trivia Game Show,ปัญญา นิรันดร์กุล,Kaidee.com"
คดีปริศนาคืบหน้าล่าช้าในรอบสัปดาห์,20.08.2018,,503K,,Loading...,,Thailand,"ชัยภูมิ ป่าแส,นักเรียนเตรียมทหาร,น้องเมย,นาฬิกาหรู"
‘ปัญญา’ เกมโชว์ไลฟ์ที่แจกเงินไปแล้ว 30 ล้านบาท ยอดคนเล่น 1.6 ล้านคน ตั้งเป้าสถานีโทรทัศน์อินเตอร์แอ็กทีฟ,20.08.2018,,"15,222K",,Loading...,,"Business,Tech","Panya-Live Trivia Game Show,รัฐกิตติ์ นพรังษีธนนนท์,สุนันดา สัจจะตระกูล,สถานีโทรทัศน์อินเตอร์แอ็กทีฟ (Interactive Media)"
คำสาปฤดูกาลที่สามของโฆเซ มูรินโญ ฟุตบอลลีกสูงสุด,20.08.2018,,961K,,Loading...,,Sport,"Cristiano Ronaldo,Manchester United,Real Madrid,Chelsea,Premier League,José Mourinho,Paul Pogba,Sergio Ramos,LFP,Roman Abramovich,Iker Casillas,Eva Carneiro,Anthony Martial"
10 อันดับเมืองที่มีโอกาสจมน้ำเร็วที่สุดในโลก,20.08.2018,,611K,,Loading...,,World,"ภาวะโลกร้อน,ปัญหาพื้นดินทรุด,ระดับน้ำทะเลเพิ่มสูงขึ้น"
ทัพนักกีฬาไทยคว้าเพิ่ม 1 เหรียญเงิน 3 ทองแดง ในเอเชียนเกมส์ จาก จักรยาน ศิลปะบังคับม้าทีม และยกน้ำหนัก,20.08.2018,,346K,,Loading...,,Sport,"ทีมชาติไทย,กีฬาขี่ม้า,AsianGames2018,การยกน้ำหนัก,เจ้าเพ็ชร์-วิภาวี ดีคาบาเลส,สืบสกุล สุขจรรยา,อารีย์ณัฏฐา ชวตานนท์,อภิษฎา บรรณกิจโศภน,เฉลิมฉาน ยศวิริยะพาณิชย์,ภัคจิรา ธงภักดิ์,ธัญญ่า สุขเจริญ,การแข่งขันจักรยานเสือภูเขา"
นาตาลี จากทัพนักปั่นจักรยานไทย คว้าเพิ่มอีก 1 ทองแดง อชก. 2018,21.08.2018,,384K,,Loading...,,Sport,"Asian Games,AsianGames2018,นาตาลี ปัญญาวัน,ศิริลักษณ์ วาระเพียง"
ปลดเครื่องหมาย H แล้ว GLAND ยันไม่รู้เรื่อง CPN ซื้อหุ้นจากรายใหญ่,21.08.2018,,"1,178K",,Loading...,,Business,"CPN,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),GLAND,บริษัท แกรนด์ คาแนล แลนด์ จำกัด (มหาชน)"
“เราขอโทษนักกีฬาทุกคน” 4 นักบาสฯ ญี่ปุ่นโค้ง 20 วินาที หลังถูกส่งกลับเอเชียนเกมส์ เหตุซื้อบริการทางเพศ,21.08.2018,,"2,535K",,Loading...,,Sport,"Asian Games,AsianGames2018"
อยุธยาเร่งเกี่ยวข้าว 7 แสนไร่ เตรียมทุ่งรับน้ำ ด้านเขื่อนแก่งกระจานถึงจุดพีก น้ำสูงสุดในรอบ 10 ปี,21.08.2018,,"3,433K",,Loading...,,Thailand,"น้ำท่วม,สถานการณ์น้ำท่วม,สุจินต์ ไชยชุมศักดิ์,ณัฐวุฒิ เพ็ชรพรหมศร"
งานวิจัยเผย การไม่มีโต๊ะประจำในออฟฟิศช่วยให้พนักงานตื่นตัวและเครียดน้อยลง,21.08.2018,,"1,152K",,Loading...,,"Business,Wellness","การทำงาน,มนุษย์ออฟฟิศ,Esther Sternberg"
วิษณุ ยันเลือกตั้ง 24 ก.พ. 62 ยังไม่มีปัจจัยเลื่อน ปรับวิธีไพรมารีโหวตลดความยุ่งยาก ธ.ค. 61-ม.ค. 62 ปลดล็อกพรรคการเมือง,20.08.2018,,226K,,Loading...,,"Thailand,Politics","ประชาธิปไตย,คสช.,การเลือกตั้ง,กกต.,วิษณุ เครืองาม,โรดแมป คสช."
